candidate_id,qualification,experience_level,job_role,experience_years,experience_years_filled,experience_was_missing,qualification_course,skills_list,num_skills
64,Bachelor's in Computer Science,Entry,Full Stack Python Developer,1.0,1.0,False,Bachelor,"['Python', 'Flask', 'JavaScript', 'SQL']",4
65,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring', 'React', 'AWS']",4
66,Bachelor's in Graphic Design,Mid,Designer,3.0,3.0,False,Bachelor,"['Adobe XD', 'Figma', 'UI', 'UX', 'Prototyping']",5
67,Bachelor's in Statistics,Entry,Data Analyst,1.0,1.0,False,Bachelor,"['SQL', 'R', 'Data Visualization', 'Statistics']",4
68,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unity', 'Game Design', 'VR']",4
69,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Jenkins', 'Docker', 'Terraform']",4
70,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Laravel', 'MySQL', 'JavaScript']",4
71,Master's in Data Science,Mid,Data Scientist,3.0,3.0,False,Master,"['Python', 'TensorFlow', 'Keras', 'NLP']",4
72,Bachelor's in Computer Science,Senior,Blockchain Developer,7.0,7.0,False,Bachelor,"['Solidity', 'Ethereum', 'Web3', 'Blockchain']",4
73,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']",5
74,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Hibernate', 'SQL', 'REST APIs']",4
75,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Digital Marketing', 'SEO', 'PPC', 'Analytics']",4
76,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Management', 'Recruitment', 'Employee Relations']",3
77,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', '.NET Core', 'Azure', 'SQL Server']",4
78,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS', 'Xcode', 'UI', 'UX']",5
79,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Network Security', 'Ethical Hacking', 'SIEM']",3
80,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Agile', 'JIRA', 'Stakeholder Management']",3
81,Master's in Data Science,Senior,Data Scientist,7.0,7.0,False,Master,"['Python', 'R', 'SQL', 'Machine Learning']",4
82,Bachelor's in Design,Entry,Designer,1.0,1.0,False,Bachelor,"['Figma', 'Sketch', 'UI', 'UX', 'Wireframing']",5
83,Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,3.0,3.0,False,Bachelor,"['Kubernetes', 'Docker', 'GCP', 'CI', 'CD']",5
84,Bachelor's in Information Technology,Entry,Web Developer,1.0,1.0,False,Bachelor,"['JavaScript', 'Node.js', 'Express', 'MongoDB']",4
85,Bachelor's in Computer Science,Mid,Full Stack Python Developer,3.0,3.0,False,Bachelor,"['Python', 'Django', 'PostgreSQL', 'JavaScript']",4
86,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring Boot', 'Angular', 'AWS']",4
87,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unreal Engine', 'VR Development']",3
88,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Terraform', 'Jenkins', 'Linux']",4
89,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Symfony', 'MySQL', 'JavaScript']",4
90,Bachelor's in Computer Science,Mid,Blockchain Developer,3.0,3.0,False,Bachelor,"['Solidity', 'Web3', 'Ethereum', 'JavaScript']",4
91,Bachelor's in Computer Science,Entry,Frontend Developer,1.0,1.0,False,Bachelor,"['React', 'TypeScript', 'HTML', 'CSS']",4
92,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Spring', 'SQL', 'Microservices']",4
93,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Marketing Campaigns', 'Social Media', 'Analytics']",3
94,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Policies', 'Recruitment', 'Training']",3
95,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', 'ASP.NET', 'SQL Server', 'Azure']",4
96,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS Development', 'UI', 'UX', 'Core Data']",5
97,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Penetration Testing', 'Firewalls', 'SIEM']",3
98,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Scrum', 'Agile', 'Project Management']",3
99,Master's in Data Science,Entry,Data Analyst,1.0,1.0,False,Master,"['Python', 'Pandas', 'SQL', 'Tableau']",4
100,Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Helm', 'AWS', 'Docker']",4
101,Bachelor's in Information Technology,Mid,Web Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'Vue.js']",4
102,PhD in Artificial Intelligence,Senior,AIML,7.0,7.0,False,PhD,"['Python', 'TensorFlow', 'NLP', 'Deep Learning']",4
103,Bachelor's in Software Engineering,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Java', 'Kotlin', 'Android SDK', 'REST APIs']",4
104,Bachelor's in Computer Science,Entry,Full Stack Python Developer,1.0,1.0,False,Bachelor,"['Python', 'Flask', 'JavaScript', 'SQL']",4
105,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring', 'React', 'AWS']",4
106,Bachelor's in Graphic Design,Mid,Designer,3.0,3.0,False,Bachelor,"['Adobe XD', 'Figma', 'UI', 'UX', 'Prototyping']",5
107,Bachelor's in Statistics,Entry,Data Analyst,1.0,1.0,False,Bachelor,"['SQL', 'R', 'Data Visualization', 'Statistics']",4
108,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unity', 'Game Design', 'VR']",4
109,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Jenkins', 'Docker', 'Terraform']",4
110,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Laravel', 'MySQL', 'JavaScript']",4
111,Master's in Data Science,Mid,Data Scientist,3.0,3.0,False,Master,"['Python', 'TensorFlow', 'Keras', 'NLP']",4
112,Bachelor's in Computer Science,Senior,Blockchain Developer,7.0,7.0,False,Bachelor,"['Solidity', 'Ethereum', 'Web3', 'Blockchain']",4
113,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']",5
114,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Hibernate', 'SQL', 'REST APIs']",4
115,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Digital Marketing', 'SEO', 'PPC', 'Analytics']",4
116,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Management', 'Recruitment', 'Employee Relations']",3
117,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', '.NET Core', 'Azure', 'SQL Server']",4
118,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS', 'Xcode', 'UI', 'UX']",5
119,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Network Security', 'Ethical Hacking', 'SIEM']",3
120,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Agile', 'JIRA', 'Stakeholder Management']",3
121,Master's in Data Science,Senior,Data Scientist,7.0,7.0,False,Master,"['Python', 'R', 'SQL', 'Machine Learning']",4
122,Bachelor's in Design,Entry,Designer,1.0,1.0,False,Bachelor,"['Figma', 'Sketch', 'UI', 'UX', 'Wireframing']",5
123,Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,3.0,3.0,False,Bachelor,"['Kubernetes', 'Docker', 'GCP', 'CI', 'CD']",5
124,Bachelor's in Information Technology,Entry,Web Developer,1.0,1.0,False,Bachelor,"['JavaScript', 'Node.js', 'Express', 'MongoDB']",4
125,Bachelor's in Computer Science,Mid,Full Stack Python Developer,3.0,3.0,False,Bachelor,"['Python', 'Django', 'PostgreSQL', 'JavaScript']",4
126,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring Boot', 'Angular', 'AWS']",4
127,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unreal Engine', 'VR Development']",3
128,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Terraform', 'Jenkins', 'Linux']",4
129,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Symfony', 'MySQL', 'JavaScript']",4
130,Bachelor's in Computer Science,Mid,Blockchain Developer,3.0,3.0,False,Bachelor,"['Solidity', 'Web3', 'Ethereum', 'JavaScript']",4
131,Bachelor's in Computer Science,Entry,Frontend Developer,1.0,1.0,False,Bachelor,"['React', 'TypeScript', 'HTML', 'CSS']",4
132,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Spring', 'SQL', 'Microservices']",4
133,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Marketing Campaigns', 'Social Media', 'Analytics']",3
134,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Policies', 'Recruitment', 'Training']",3
135,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', 'ASP.NET', 'SQL Server', 'Azure']",4
136,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS Development', 'UI', 'UX', 'Core Data']",5
137,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Penetration Testing', 'Firewalls', 'SIEM']",3
138,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Scrum', 'Agile', 'Project Management']",3
139,Master's in Data Science,Entry,Data Analyst,1.0,1.0,False,Master,"['Python', 'Pandas', 'SQL', 'Tableau']",4
140,Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Helm', 'AWS', 'Docker']",4
141,Bachelor's in Information Technology,Mid,Web Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'Vue.js']",4
142,PhD in Artificial Intelligence,Senior,AIML,7.0,7.0,False,PhD,"['Python', 'TensorFlow', 'NLP', 'Deep Learning']",4
143,Bachelor's in Software Engineering,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Java', 'Kotlin', 'Android SDK', 'REST APIs']",4
144,Bachelor's in Computer Science,Entry,Full Stack Python Developer,1.0,1.0,False,Bachelor,"['Python', 'Flask', 'JavaScript', 'SQL']",4
145,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring', 'React', 'AWS']",4
146,Bachelor's in Graphic Design,Mid,Designer,3.0,3.0,False,Bachelor,"['Adobe XD', 'Figma', 'UI', 'UX', 'Prototyping']",5
147,Bachelor's in Statistics,Entry,Data Analyst,1.0,1.0,False,Bachelor,"['SQL', 'R', 'Data Visualization', 'Statistics']",4
148,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unity', 'Game Design', 'VR']",4
149,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Jenkins', 'Docker', 'Terraform']",4
150,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Laravel', 'MySQL', 'JavaScript']",4
151,Master's in Data Science,Mid,Data Scientist,3.0,3.0,False,Master,"['Python', 'TensorFlow', 'Keras', 'NLP']",4
152,Bachelor's in Computer Science,Senior,Blockchain Developer,7.0,7.0,False,Bachelor,"['Solidity', 'Ethereum', 'Web3', 'Blockchain']",4
153,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']",5
154,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Hibernate', 'SQL', 'REST APIs']",4
155,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Digital Marketing', 'SEO', 'PPC', 'Analytics']",4
156,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Management', 'Recruitment', 'Employee Relations']",3
157,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', '.NET Core', 'Azure', 'SQL Server']",4
158,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS', 'Xcode', 'UI', 'UX']",5
159,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Network Security', 'Ethical Hacking', 'SIEM']",3
160,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Agile', 'JIRA', 'Stakeholder Management']",3
161,Master's in Data Science,Senior,Data Scientist,7.0,7.0,False,Master,"['Python', 'R', 'SQL', 'Machine Learning']",4
162,Bachelor's in Design,Entry,Designer,1.0,1.0,False,Bachelor,"['Figma', 'Sketch', 'UI', 'UX', 'Wireframing']",5
163,Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,3.0,3.0,False,Bachelor,"['Kubernetes', 'Docker', 'GCP', 'CI', 'CD']",5
164,Bachelor's in Information Technology,Entry,Web Developer,1.0,1.0,False,Bachelor,"['JavaScript', 'Node.js', 'Express', 'MongoDB']",4
165,Bachelor's in Computer Science,Mid,Full Stack Python Developer,3.0,3.0,False,Bachelor,"['Python', 'Django', 'PostgreSQL', 'JavaScript']",4
166,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring Boot', 'Angular', 'AWS']",4
167,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unreal Engine', 'VR Development']",3
168,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Terraform', 'Jenkins', 'Linux']",4
169,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Symfony', 'MySQL', 'JavaScript']",4
170,Bachelor's in Computer Science,Mid,Blockchain Developer,3.0,3.0,False,Bachelor,"['Solidity', 'Web3', 'Ethereum', 'JavaScript']",4
171,Bachelor's in Computer Science,Entry,Frontend Developer,1.0,1.0,False,Bachelor,"['React', 'TypeScript', 'HTML', 'CSS']",4
172,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Spring', 'SQL', 'Microservices']",4
173,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Marketing Campaigns', 'Social Media', 'Analytics']",3
174,Master's in Human Resources,Senior,HR,7.0,7.0,False,Master,"['HR Policies', 'Recruitment', 'Training']",3
175,Bachelor's in Computer Science,Mid,C# Developer,3.0,3.0,False,Bachelor,"['C#', 'ASP.NET', 'SQL Server', 'Azure']",4
176,Bachelor's in Computer Science,Entry,Mobile Developer,1.0,1.0,False,Bachelor,"['Swift', 'iOS Development', 'UI', 'UX', 'Core Data']",5
177,Master's in Cybersecurity,Senior,Cybersecurity Engineer,7.0,7.0,False,Master,"['Penetration Testing', 'Firewalls', 'SIEM']",3
178,Master's in Business Administration,Mid,Software Project Manager,3.0,3.0,False,Master,"['Scrum', 'Agile', 'Project Management']",3
179,Master's in Data Science,Entry,Data Analyst,1.0,1.0,False,Master,"['Python', 'Pandas', 'SQL', 'Tableau']",4
180,Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,7.0,7.0,False,Bachelor,"['Kubernetes', 'Helm', 'AWS', 'Docker']",4
181,Bachelor's in Information Technology,Mid,Web Developer,3.0,3.0,False,Bachelor,"['HTML', 'CSS', 'JavaScript', 'Vue.js']",4
182,PhD in Artificial Intelligence,Senior,AIML,7.0,7.0,False,PhD,"['Python', 'TensorFlow', 'NLP', 'Deep Learning']",4
183,Bachelor's in Software Engineering,Mid,Mobile Developer,3.0,3.0,False,Bachelor,"['Java', 'Kotlin', 'Android SDK', 'REST APIs']",4
184,Bachelor's in Computer Science,Entry,Full Stack Python Developer,1.0,1.0,False,Bachelor,"['Python', 'Flask', 'JavaScript', 'SQL']",4
185,Master's in Software Engineering,Senior,Full Stack Java Developer,7.0,7.0,False,Master,"['Java', 'Spring', 'React', 'AWS']",4
186,Bachelor's in Graphic Design,Mid,Designer,3.0,3.0,False,Bachelor,"['Adobe XD', 'Figma', 'UI', 'UX', 'Prototyping']",5
187,Bachelor's in Statistics,Entry,Data Analyst,1.0,1.0,False,Bachelor,"['SQL', 'R', 'Data Visualization', 'Statistics']",4
188,Bachelor's in Game Development,Mid,Game Developer,3.0,3.0,False,Bachelor,"['C++', 'Unity', 'Game Design', 'VR']",4
189,Bachelor's in Computer Science,Senior,DevOps Engineer,7.0,7.0,False,Bachelor,"['AWS', 'Jenkins', 'Docker', 'Terraform']",4
190,Bachelor's in Information Technology,Entry,PHP Developer,1.0,1.0,False,Bachelor,"['PHP', 'Laravel', 'MySQL', 'JavaScript']",4
191,Master's in Data Science,Mid,Data Scientist,3.0,3.0,False,Master,"['Python', 'TensorFlow', 'Keras', 'NLP']",4
192,Bachelor's in Computer Science,Senior,Blockchain Developer,7.0,7.0,False,Bachelor,"['Solidity', 'Ethereum', 'Web3', 'Blockchain']",4
193,Bachelor's in Computer Science,Mid,Frontend Developer,3.0,3.0,False,Bachelor,"['React', 'JavaScript', 'HTML', 'CSS', 'Redux']",5
194,Bachelor's in Software Engineering,Senior,Backend Developer,7.0,7.0,False,Bachelor,"['Java', 'Hibernate', 'SQL', 'REST APIs']",4
195,Bachelor's in Marketing,Mid,Marketing,3.0,3.0,False,Bachelor,"['Digital Marketing', 'SEO', 'PPC', 'Analytics']",4
